category,idiklan,url,price,title,dilihat,place,device
Bekas,396830969        			,http://olx.co.id/iklan/amd-a4-4000-mb-biostar-a55-IDqR3Rw.html,450.000,Amd a4 4000 + mb biostar a55,1,"Bandung Kota, Jawa Barat",via HP
Bekas,396831024        			,http://olx.co.id/iklan/acer-4736-hd-250gb-msih-segel-IDqR3So.html,1.000.000,Acer 4736 hd 250gb.msih segel,3,"Palembang Kota, Sumatra Selatan",via HP
Bekas,396743758        			,http://olx.co.id/iklan/laptop-asus-core-i3-dual-vga-nego-alus-IDqQHaS.html,2.900.000,Laptop asus .core i3 .dual vga...nego alus,4,"Tangerang Kab., Banten",via HP
Bekas,396830854        			,http://olx.co.id/iklan/laptop-lenovo-ideapad-300-quadcore-fullset-garansi-IDqR3PE.html,2.850.000,Laptop Lenovo Ideapad 300 Quadcore Fullset Garansi,1,"Bekasi Kab., Jawa Barat",via HP
Bekas,396830993        			,http://olx.co.id/iklan/antena-wifi-portable-bolt-IDqR3RT.html,50.000,Antena wifi portable bolt,2,"Tangerang Kota, Banten",via HP
Baru,396673233        			,http://olx.co.id/iklan/program-kasir-full-modif-custom-bergaransi-made-in-bali-IDqQoPn.html,1.500.000,Program Kasir Full Modif / Custom Bergaransi - Made in bali,2,"Denpasar Kota, Bali",via HP
Baru,396831519        			,http://olx.co.id/iklan/acer-e5-575-i3-6006u-bisa-dicicil-tanpa-kartu-kredit-IDqR40n.html,5.290.000,ACER E5-575 i3 6006U Bisa Dicicil Tanpa Kartu Kredit,4,"Tangerang Kota, Banten",via HP
Bekas,396831338        			,http://olx.co.id/iklan/jual-laptop-tashiba-14in-IDqR3Xs.html,1.500.000,Jual laptop tashiba 14in,3,"Aceh Barat Kab., Aceh D.I.",via HP
Bekas,396831458        			,http://olx.co.id/iklan/tv-tuner-gadmei-untuk-moniyorbled-lcd-IDqR3Zo.html,180.000,Tv tuner GADMEI untuk moniyorbLED/LCD,2,"Bantul Kab., Yogyakarta D.I.",via HP
Bekas,396831274        			,http://olx.co.id/iklan/jual-laptop-hp-14-bisa-gaming-desain-IDqR3Vq.html,3.500.000,Jual Laptop HP 14 bisa Gaming + Desain,3,"Surakarta Kota, Jawa Tengah",via HP
Bekas,396831924        			,http://olx.co.id/iklan/hp-notebook-14-an030au-ram-4-gb-amd-quadcore-a6-with-amd-radeon-r4-IDqR46U.html,3.000.000,"HP Notebook 14-an030AU *RAM 4 GB, AMD Quadcore A6 with AMD Radeon R4*",1,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396831853        			,http://olx.co.id/iklan/laptop-hp-murmer-IDqR45L.html,700.000,Laptop hp murmer,2,"Cirebon Kota, Jawa Barat",via HP
Baru,396657578        			,http://olx.co.id/iklan/kredit-cepat-freezer-daging-daiichi-proses-cepat-IDqQkKS.html,2.150.000,Kredit cepat Freezer daging Daiichi proses cepat,12,"Tangerang Selatan Kota, Banten",via HP
Baru,396626209        			,http://olx.co.id/iklan/panasonic-1pintu-gan-baru-garansi-nego-santai-gan-karna-barang-segel-IDqQcAW.html,1.650.000,Panasonic 1pintu gan baru garansi . nego santai gan karna barang segel,6,"Jakarta Selatan, Jakarta D.K.I.",via HP
Baru,396824914        			,http://olx.co.id/iklan/kipas-angin-maspion-16in-stand-fan-IDqR2hQ.html,295.000,Kipas angin maspion 16in stand fan,6,"Banjarmasin Kota, Kalimantan Selatan",via HP
Baru,396825023        			,http://olx.co.id/iklan/panasonic-breadmaker-IDqR2jB.html,2.300.000,Panasonic breadmaker,1,"Jakarta Selatan, Jakarta D.K.I.",via HP
Bekas,396825204        			,http://olx.co.id/iklan/jual-kulkas-merek-sanyo-1-pintu-IDqR2mv.html,900.000,Jual Kulkas  Merek SANYO  1 pintu,5,"Makassar Kota, Sulawesi Selatan",via HP
Bekas,396824759        			,http://olx.co.id/iklan/kipas-angin-maspion-IDqR2fl.html,150.000,Kipas angin maspion,22,"Surabaya Kota, Jawa Timur",via HP
Bekas,396825353        			,http://olx.co.id/iklan/mesin-cuci-lg-IDqR2oW.html,700.000,Mesin Cuci  LG,9,"Jakarta Utara, Jakarta D.K.I.",via HP
Bekas,396674189        			,http://olx.co.id/iklan/laptop-sony-vaio-white-slim-cbu-IDqQp4N.html,3.000.000,Laptop sony vaio white slim CBU,18,"Bandung Kota, Jawa Barat",via HP
Bekas,396606764        			,http://olx.co.id/iklan/laptop-core-i3-lenovo-thinkpad-kondisi-normal-siap-pakai-IDqQ7xi.html,2.200.000,"Laptop core i3,lenovo thinkpad.kondisi normal siap pakai",9,"Surakarta Kota, Jawa Tengah",via HP
Baru,396830063        			,http://olx.co.id/iklan/acer-e5-575-32nd-i3-6006u-bisa-dicicil-tanpa-kartu-kredit-IDqR3CT.html,4.999.000,ACER E5-575-32ND i3 6006U Bisa Dicicil Tanpa Kartu Kredit,8,"Tangerang Kota, Banten",via HP
Bekas,396671738        			,http://olx.co.id/iklan/laptop-merek-hp-no-minus-mulus-IDqQorg.html,2.000.000,Laptop merek hp no.minus mulus,5,"Sukabumi Kota, Jawa Barat",via HP
Bekas,396829828        			,http://olx.co.id/iklan/jual-switch-hub-merk-cisco-catalyst-2950-series-IDqR3z6.html,400.000,Jual switch hub merk cisco CATALYST 2950 series,4,"Jakarta Timur, Jakarta D.K.I.",via HP
Bekas,396830043        			,http://olx.co.id/iklan/acer-aspire-4315-ram512-harddisk-120giga-IDqR3Cz.html,950.000,Acer aspire 4315 ram512 harddisk 120giga,7,"Surabaya Kota, Jawa Timur",via HP
Baru,396667833        			,http://olx.co.id/iklan/program-kasir-lengkap-support-komputer-kasir-terbaru-dan-jenis-lama-IDqQnqh.html,1.500.000,"Program Kasir Lengkap, support Komputer kasir terbaru dan jenis lama",5,"Denpasar Kota, Bali",via HP
Bekas,396830338        			,http://olx.co.id/iklan/laptop-dm3-vga-ati-memory-4gb-IDqR3Hk.html,1.600.000,Laptop dm3 vga ati memory 4gb,15,"Bogor Kota, Jawa Barat",via HP
Bekas,396830408        			,http://olx.co.id/iklan/mg-2570-modif-prin-scan-copy-hasil-kayak-baru-IDqR3Is.html,575.000,Mg 2570 modif prin scan copy hasil kayak baru,5,"Gresik Kab. , Jawa Timur",via HP
Bekas,396828339        			,http://olx.co.id/iklan/showcase-minuman-dingin-IDqR3b5.html,1.800.000,Showcase minuman dingin,2,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396827863        			,http://olx.co.id/iklan/panasonic-1pk-standart-mulus-banget-IDqR33p.html,1.650.000,Panasonic 1pk standart Mulus banget,3,"Jakarta Barat, Jakarta D.K.I.",via HP
Baru,396667543        			,http://olx.co.id/iklan/kredit-ac-sharp-bunga-ringan-proses-cepat-IDqQnlB.html,3.500.000,KREDIT AC Sharp Bunga Ringan proses cepat,4,"Medan Kota, Sumatra Utara",via HP
Baru,396672493        			,http://olx.co.id/iklan/casing-komputer-gaming-transparan-IDqQoDr.html,350.000,Casing komputer gaming transparan,12,"Jakarta Barat, Jakarta D.K.I.",via HP
Baru,396828119        			,http://olx.co.id/iklan/kipas-angin-cosmos-ungu-16-in-IDqR37x.html,295.000,Kipas angin cosmos ungu 16 in,5,"Banjarmasin Kota, Kalimantan Selatan",via HP
Baru,396829819        			,http://olx.co.id/iklan/promo-kulkas-lg-2pt-bisa-kredit-civil-di-handal-grosir-IDqR3yX.html,3.250.000,Promo kulkas LG 2pt bisa Kredit civil Di Handal grosir,2,"Tangerang Selatan Kota, Banten",via HP
Baru,396663564        			,http://olx.co.id/iklan/panasonoc-washing-machine-bisa-kredit-proses-mudah-IDqQmjq.html,2.459.000,PANASONOC washing Machine Bisa Kredit Proses Mudah,5,"Jakarta Timur, Jakarta D.K.I.",via HP
Baru,396830209        			,http://olx.co.id/iklan/mesin-pengering-electrolux-IDqR3Ff.html,6.000.000,Mesin pengering electrolux,4,"Tangerang Selatan Kota, Banten",via HP
Bekas,396830298        			,http://olx.co.id/iklan/jual-ac-seken-semua-merek-siap-pasang-geransi-IDqR3GG.html,1.400.000,Jual ac seken semua merek.. siap pasang geransi,4,"Aceh Utara Kab., Aceh D.I.",via HP
